,ID,Game Name,Match Name,Num in Match,Region,Tournament,Blue Team Name,Red Team Name,Date,Week,Winner,Blue kills,Red kills,Total kills,Blue towers,Red towers,Total towers,Blue dragons,Red dragons,Total dragons,Blue barons,Red barons,Total barons,Blue gold,Red gold,Total gold,First blood team,First blood time,First tower team,First tower time,First dragon team,First dragon time,First rift herald team,First rift herald time,First baron team,First baron time,Game time,Blue players,Red players
14,152122,Team Vitality  vs G2 Esports ,G2 Esports vs VIT 0,2,LEC,LEC Spring Playoffs 2022,Team Vitality ,G2 Esports ,2022-04-01,0,red,13,18,31,1,10,11,0,0,0,0,1,1,47.1,54.2,101.30000000000001,red,400,red,652,red,400,red,547,red,1571,1716,"Alphari,Selfmade,Perkz,Carzzy,Labrov,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
15,162122,Team Vitality  vs G2 Esports ,G2 Esports vs VIT 0,3,LEC,LEC Spring Playoffs 2022,Team Vitality ,G2 Esports ,2022-04-01,0,red,13,13,26,9,9,18,3,0,3,1,3,4,78.3,86.2,164.5,blue,544,blue,681,blue,432,blue,638,red,1427,2776,"Alphari,Selfmade,Perkz,Carzzy,Labrov,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
16,172122,Rogue  vs Fnatic ,Rogue vs Fnatic 0,1,LEC,LEC Spring Playoffs 2022,Rogue ,Fnatic ,2022-04-02,0,red,16,15,31,4,10,14,1,0,1,2,1,3,78.6,83.3,161.89999999999998,blue,230,red,746,red,230,red,517,red,1576,2635,"Odoamne,Malrang,Larssen,Comp,Trymbi,","Wunder,Razork,Humanoid,Upset,Hylissang,"
17,182122,Rogue  vs Fnatic ,Rogue vs Fnatic 0,2,LEC,LEC Spring Playoffs 2022,Rogue ,Fnatic ,2022-04-02,0,red,10,19,29,2,9,11,1,0,1,0,2,2,53.5,65.9,119.4,red,305,red,872,red,305,red,597,red,1513,1954,"Odoamne,Malrang,Larssen,Comp,Trymbi,","Wunder,Razork,Humanoid,Upset,Hylissang,"
18,192122,Fnatic  vs Rogue ,Rogue vs Fnatic 0,3,LEC,LEC Spring Playoffs 2022,Fnatic ,Rogue ,2022-04-02,0,red,11,22,33,3,10,13,3,0,3,0,2,2,56.0,65.3,121.3,red,350,red,777,red,350,red,585,red,1360,1936,"Wunder,Razork,Humanoid,Upset,Hylissang,","Odoamne,Malrang,Larssen,Comp,Trymbi,"
19,202122,Fnatic  vs Rogue ,Rogue vs Fnatic 0,4,LEC,LEC Spring Playoffs 2022,Fnatic ,Rogue ,2022-04-02,0,red,2,26,28,1,11,12,0,0,0,0,1,1,34.3,51.5,85.8,red,100,red,770,red,100,red,537,red,1250,1393,"Wunder,Razork,Humanoid,Upset,Hylissang,","Odoamne,Malrang,Larssen,Comp,Trymbi,"
20,212122,Fnatic  vs Rogue ,Rogue vs Fnatic 0,5,LEC,LEC Spring Playoffs 2022,Fnatic ,Rogue ,2022-04-02,0,red,6,14,20,2,9,11,1,0,1,0,1,1,38.5,46.6,85.1,red,181,red,586,red,181,red,543,red,1259,1405,"Wunder,Razork,Humanoid,Upset,Hylissang,","Odoamne,Malrang,Larssen,Comp,Trymbi,"
21,222122,Misfits Gaming  vs G2 Esports ,MSF vs G2 Esports 0,1,LEC,LEC Spring Playoffs 2022,Misfits Gaming ,G2 Esports ,2022-04-03,0,red,9,16,25,2,8,10,1,0,1,0,0,0,54.5,61.7,116.2,red,229,red,802,red,229,red,533,none,0,2035,"HiRit,Shlatan,Vetheo,Neon,Mersa,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
22,232122,Misfits Gaming  vs G2 Esports ,MSF vs G2 Esports 0,2,LEC,LEC Spring Playoffs 2022,Misfits Gaming ,G2 Esports ,2022-04-03,0,red,5,24,29,2,11,13,0,0,0,0,1,1,40.2,55.7,95.9,red,333,red,833,red,333,blue,515,red,1363,1615,"HiRit,Shlatan,Vetheo,Neon,Mersa,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
23,242122,G2 Esports  vs Misfits Gaming ,MSF vs G2 Esports 0,3,LEC,LEC Spring Playoffs 2022,G2 Esports ,Misfits Gaming ,2022-04-03,0,blue,20,8,28,10,4,14,3,0,3,1,0,1,50.9,38.6,89.5,blue,306,blue,764,red,306,blue,545,blue,1287,1416,"Brokenblade,Jankos,Caps,Flakked,Targamas,","HiRit,Shlatan,Vetheo,Neon,Mersa,"
24,252122,Fnatic  vs G2 Esports ,Fnatic vs G2 Esports 0,1,LEC,LEC Spring Playoffs 2022,Fnatic ,G2 Esports ,2022-04-09,0,red,7,22,29,2,10,12,0,0,0,0,1,1,48.3,58.2,106.5,red,171,red,760,red,171,red,566,red,1466,1734,"Wunder,Razork,Humanoid,Upset,Hylissang,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
25,262122,Fnatic  vs G2 Esports ,Fnatic vs G2 Esports 0,2,LEC,LEC Spring Playoffs 2022,Fnatic ,G2 Esports ,2022-04-09,0,red,5,18,23,0,9,9,1,0,1,0,1,1,48.0,61.3,109.3,red,208,red,909,red,208,red,565,red,1723,1901,"Wunder,Razork,Humanoid,Upset,Hylissang,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
26,272122,Fnatic  vs G2 Esports ,Fnatic vs G2 Esports 0,3,LEC,LEC Spring Playoffs 2022,Fnatic ,G2 Esports ,2022-04-09,0,red,17,26,43,6,10,16,2,0,2,1,1,2,71.8,75.5,147.3,red,174,red,662,red,174,red,541,blue,1770,2436,"Wunder,Razork,Humanoid,Upset,Hylissang,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
27,282122,Rogue  vs G2 Esports ,Rogue vs G2 Esports 0,1,LEC,LEC Spring Playoffs 2022,Rogue ,G2 Esports ,2022-04-10,0,red,8,17,25,4,8,12,0,0,0,0,1,1,55.2,63.7,118.9,red,206,red,860,red,206,red,606,red,1916,2040,"Odoamne,Malrang,Larssen,Comp,Trymbi,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
28,292122,Rogue  vs G2 Esports ,Rogue vs G2 Esports 0,2,LEC,LEC Spring Playoffs 2022,Rogue ,G2 Esports ,2022-04-10,0,red,5,20,25,4,7,11,0,0,0,1,1,2,55.5,63.1,118.6,blue,308,blue,824,red,308,blue,520,blue,1316,1962,"Odoamne,Malrang,Larssen,Comp,Trymbi,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
29,302122,G2 Esports  vs Rogue ,Rogue vs G2 Esports 0,3,LEC,LEC Spring Playoffs 2022,G2 Esports ,Rogue ,2022-04-10,0,blue,26,15,41,11,3,14,3,0,3,3,0,3,74.1,66.4,140.5,red,140,red,710,red,140,blue,691,blue,1337,2324,"Brokenblade,Jankos,Caps,Flakked,Targamas,","Odoamne,Malrang,Larssen,Comp,Trymbi,"
