,ID,Unnamed:_0,Game_Name,Match_Name,Num_in_Match,Region,Tournament,Blue_Team_Name,Red_Team_Name,Date,Week,Winner,Blue_kills,Red_kills,Total_kills,Blue_towers,Red_towers,Total_towers,Blue_dragons,Red_dragons,Total_dragons,Blue_barons,Red_barons,Total_barons,Blue_gold,Red_gold,Total_gold,First_blood_team,First_blood_time,First_tower_team,First_tower_time,First_dragon_team,First_dragon_time,First_rift_herald_team,First_rift_herald_time,First_baron_team,First_baron_time,Game_time,Blue_players,Red_players
49,50502022,49,G2 Esports  vs PSG Talon ,G2 Esports vs PSG Talon 0,1,MSI,MSI 2022,G2 Esports ,PSG Talon ,2022-05-22,0,red,4,12,16,2,7,9,2,0,2,0,1,1,44.4,49.8,94.2,blue,410,blue,810,red,367,blue,497,red,1456,1660,"Brokenblade,Jankos,Caps,Flakked,Targamas,","Hanabi,Juhan,Bay,Unified,Kaiwing,"
50,51502022,50,Royal Never Give Up  vs Saigon Buffalo ,RNG vs SGB 0,1,MSI,MSI 2022,Royal Never Give Up ,Saigon Buffalo ,2022-05-22,0,blue,12,7,19,10,4,14,4,0,4,1,0,1,68.7,59.3,128.0,blue,204,blue,670,blue,204,blue,508,blue,1706,2136,"Bin,Wei,xiaohu,GALA,Ming,","Hasmed,BeanJ,Froggy,Shogun,Taki,"
51,52502022,51,T1  vs PSG Talon ,T1 vs PSG Talon 0,1,MSI,MSI 2022,T1 ,PSG Talon ,2022-05-22,0,blue,14,12,26,9,2,11,2,0,2,1,0,1,66.6,55.0,121.6,blue,388,blue,714,blue,388,blue,577,blue,1552,2073,"Zeus,Oner,Faker,Gumayusi,Keria,","Hanabi,Juhan,Bay,Unified,Kaiwing,"
52,53502022,52,Royal Never Give Up  vs G2 Esports ,RNG vs G2 Esports 0,1,MSI,MSI 2022,Royal Never Give Up ,G2 Esports ,2022-05-22,0,blue,15,6,21,8,1,9,2,0,2,1,0,1,51.7,41.4,93.1,blue,192,blue,689,blue,192,blue,521,blue,1441,1611,"Bin,Wei,xiaohu,GALA,Ming,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
53,54502022,53,Evil Geniuses  vs Saigon Buffalo ,EG vs SGB 0,1,MSI,MSI 2022,Evil Geniuses ,Saigon Buffalo ,2022-05-22,0,blue,28,11,39,10,3,13,4,0,4,1,0,1,65.7,53.5,119.2,blue,290,red,889,blue,290,blue,613,blue,1608,1941,"Impact,Inspired,jojopyun,Danny,Vulcan,","Hasmed,BeanJ,Froggy,Shogun,Taki,"
54,55502022,54,PSG Talon  vs G2 Esports ,PSG Talon vs G2 Esports 0,1,MSI,MSI 2022,PSG Talon ,G2 Esports ,2022-05-23,0,blue,18,8,26,10,3,13,4,0,4,1,1,2,66.6,58.2,124.8,blue,508,blue,830,blue,375,blue,503,red,1565,2001,"Hanabi,Juhan,Bay,Unified,Kaiwing,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
55,56502022,55,T1  vs Evil Geniuses ,T1 vs EG 0,1,MSI,MSI 2022,T1 ,Evil Geniuses ,2022-05-23,0,red,11,22,33,5,8,13,3,0,3,0,2,2,56.1,62.4,118.5,blue,272,blue,743,blue,272,blue,538,red,1319,1921,"Zeus,Oner,Faker,Gumayusi,Keria,","Impact,Inspired,jojopyun,Danny,Vulcan,"
56,57502022,56,Saigon Buffalo  vs Royal Never Give Up ,SGB vs RNG 0,1,MSI,MSI 2022,Saigon Buffalo ,Royal Never Give Up ,2022-05-23,0,red,25,19,44,6,8,14,0,0,0,1,0,1,66.5,67.3,133.8,red,174,red,864,red,174,red,557,blue,1687,2128,"Hasmed,BeanJ,Froggy,Shogun,Taki,","Bin,Wei,xiaohu,GALA,Ming,"
57,58502022,57,G2 Esports  vs T1 ,G2 Esports vs T1 0,1,MSI,MSI 2022,G2 Esports ,T1 ,2022-05-23,0,red,9,18,27,2,9,11,2,0,2,0,0,0,38.6,44.7,83.30000000000001,blue,264,red,519,blue,264,blue,517,none,0,1304,"Brokenblade,Jankos,Caps,Flakked,Targamas,","Zeus,Oner,Faker,Gumayusi,Keria,"
58,59502022,58,Saigon Buffalo  vs PSG Talon ,SGB vs PSG Talon 0,1,MSI,MSI 2022,Saigon Buffalo ,PSG Talon ,2022-05-23,0,blue,15,9,24,9,3,12,2,0,2,1,0,1,54.3,47.9,102.2,blue,226,red,890,blue,226,red,514,blue,1282,1709,"Hasmed,BeanJ,Froggy,Shogun,Taki,","Hanabi,Juhan,Bay,Unified,Kaiwing,"
